barcode,callnumber,title,status
D00673584X                    ,BR315.A4513 1979,Four reformers :,  
D04690233R                    ,BR315.A87 2015,Aus erster Hand: 95 Portra?ts zur Reformationsgeschichte :,  
D02475953Z                    ,BR315.B35 1970,Characters of the Reformation.,  
D03883446-                    ,BR315.B53 2008,Martin Luther & Jean Calvin :,  
D00274124K                    ,BR315.C368 1929,Bernardino Ochino :,
D05507511O                    ,BR315.C783 2021,Die Crucigers :,  
D03888256/                    ,BR315.D4 1900,Two noble lives :,  
D00669739/                    ,BR315.D8 1898,"Leaders of the reformation,",  
D00531822L                    ,BR315.G4 1967,Reformers in profile.,  
D05083075S                    ,BR315.K73 2016,Zwo?lf Ko?pfe der Reformation,  
D00275756W                    ,BR315.L8 1973,The wisdom of Martin Luther.,  
D04815115P                    ,BR315.R35 2014,Das Reformatorenlexikon /,  
D00531094M                    ,BR315.R86 1969,"Patterns of reformation,",
D00740062J                    ,BR315.S564 1841,"Life of Ulricus Zuinglius, the Swiss reformer :",
D00729941W                    ,BR315.S83 1971,Reformers in the wings,
D00729948$                    ,BR315.S83 1971,Reformers in the wings,
D00909170Q                    ,BR315.S83 1971,Reformers in the wings,  
D01648028T                    ,BR315.S83 2001,Reformers in the wings :,  
D01369964                     ,BR315.S83 2001,Reformers in the wings :,  
D00350716M                    ,BR317.B29 1973,Women of the Reformation in France and England,  
D00314486Q                    ,BR317.B3 1971,"Women of the Reformation in Germany and Italy,",  
D05150314J                    ,BR317.F73 2016,Frauen und Reformation :,  
D05581835Z                    ,BR317.F738 2022,Frauen ergreifen das Wort :,  
D03119095S                    ,BR317.H53 2005,Making women martyrs in Tudor England /,  
D01116149N                    ,BR317.W35 1911,The women martyrs of the Reformation /,  
D05551271Q                    ,BR317.W66 2022,Women reformers of early modern Europe :,  
D02592671W                    ,BR323.5.A734 Bd.4,Luthers geistliche Lieder und Kirchengesa?nge.,WI
D03271161L                    ,BR323.5.L8,Luther.,  
D03260929V                    ,BR323.5.L8,Luther.,  
D03257307R                    ,BR323.5.L8,Luther.,  
D04189937+                    ,BR323.5.L8,Luther.,  
D03306953T                    ,BR323.5.L8,Luther.,  
HAMB-5449-00001               ,BR323.5.S375 Hft.10,Luthers Glaube;,
HALP-5744-00001               ,BR323.5.S375 Hft.13,Friedrich Nietzsche und Luther.,
HAMJ-5780-00001               ,BR323.5.S375 Hft.14,Luther in der deutschen kirche der gegenwart;,
D02518262Q                    ,BR323.5.S3755 v.1,Luthers Kleiner Katechismus und die Wirklichkeit.,
D00663043M                    ,BR323.5.S3755 v.10,Sexus und Ehe bei Luther.,
D02518270P                    ,BR323.5.S3755 v.11,Gottes Gebot bei Martin Luther :,
D02518271Q                    ,BR323.5.S3755 v.12,Person und Offenbarung in der Theologie Emil Brunners wa?hrend der Jahre 1914-1937.,
D02518263R                    ,BR323.5.S3755 v.2,"Michael Agricola, der Reformator Finnlands;",
D00240601D                    ,BR323.5.S3755 v.22,Luther in Finnland :,  
D00909122N                    ,BR323.5.S3755 v.24,Thesaurus Lutheri :,  
D00240598S                    ,BR323.5.S3755 v.25,Luther und Theosis /,  
D00973122O                    ,BR323.5.S3755 v.30,Luther as nominalist :,  
